id;tool;sentiment
IFL;NATURAL;A metódusok score szerint csökkenő sorrendbe vannak rendezve és a $(metódust) metódust a(z) $(sorszám) helyen találod a listában. Tegyük fel, hogy ez a hibás, így ezelőtt már $(db) metódust meg kellett vizsgálnod.
IFL;POSITIVE;A feladat megoldása során több metódust is a hibával kapcsolatosnak gondolsz. Az iFL listájában az egyszerűen ellenőrizhető metódusokat kizárod így a egy új metódus előbbre kerül.;pl. createNumber vs. isAllZeros
IFL;POSITIVE;A feladat megoldása során több metódust is a hibával kapcsolatosnak gondolsz. Az iFL listájában az egyszerűen ellenőrizhető metódusokat kizárod így a hibás metódus előbbre kerül.;pl. createNumber vs. isAllZeros
IFL;POSITIVE;A feladat megoldása során több metódust is a hibával kapcsolatosnak gondolsz. Az iFL listájában az egyik általad vizsgált metódust találod a(z) $(sorszám < 10) helyen.
IFL;NEGATIVE;A feladat megoldása során több metódust is a hibával kapcsolatosnak gondolsz. Az iFL listájában az egyik általad vizsgált metódust találod a(z) $(sorszám > 10) helyen.
IFL;NATURAL;A feladat megoldása során több metódust is a hibával kapcsolatosnak gondolsz. Az iFL listájában az általad vizsgált metódusok mindegyikét az első $(n) helyen találod.
IFL;POSITIVE;A feladat megoldása során több metódust is a hibával kapcsolatosnak gondolsz. Az iFL listájában egy általad nem vizsgált metódust találsz az első helyen. A vizsgálat során kiderül, hogy ez volt a hibás metódus.
IFL;NEGATIVE;A feladat megoldása során több metódust is a hibával kapcsolatosnak gondolsz. Az iFL listájában egy általad nem vizsgált metódust találsz az első helyen. A vizsgálat során kiderül, hogy nem ez volt a hibás metódus.
IFL;POSITIVE;A feladat megoldása során több metódust is a hibával kapcsolatosnak gondolsz. Az iFL listájában egy általad eddig nem vizsgált metódust találsz a listában az általad vizsgáltak közé ékelődve. A vizsgálat során kiderül, hogy ez volt a hibás metódus.
IFL;NEGATIVE;A feladat megoldása során több metódust is a hibával kapcsolatosnak gondolsz. Az iFL listájában egy általad eddig nem vizsgált metódust találsz a listában az általad vizsgáltak közé ékelődve. A vizsgálat során kiderül, hogy nem ez volt a hibás metódus.
IFL;POSITIVE;A vizsgált $(teszt) teszt alapján nem igazán van ötleted, hogy melyik metódusban rejlik a hiba, így az iFL eredményeiből indulsz ki.
IFL;NATURAL;A vizsgált $(teszt) teszt alapján van egy bizonytalan ötleted, hogy melyik metódusban rejlik a hiba, de a biztonság kedvéért megnézed az iFL által adott listát.
