,paper id,doi,title,year,forum,forum id
35,conf/kbse/WangDGGQYW17,10.1109/ASE.2017.8115663,A comprehensive study on real world concurrency bugs in Node.js.,2017,ASE,conf/kbse
36,conf/kbse/0002HB16a,10.1145/2970276.2970292,The interactive verification debugger - effective understanding of interactive proof attempts.,2016,ASE,conf/kbse
37,conf/kbse/AlmhanaMK016,10.1145/2970276.2970344,Recommending relevant classes for bug reports using multi-objective search.,2016,ASE,conf/kbse
38,conf/kbse/AsadollahSESH16,10.1145/2975954.2975958,A model for systematic monitoring and debugging of starvation bugs in multicore software.,2016,SCTDCP@ASE,conf/kbse
39,conf/kbse/BocicB16,10.1145/2970276.2970350,Finding access control bugs in web applications with CanCheck.,2016,ASE,conf/kbse
40,conf/kbse/FengJCF16,10.1145/2970276.2970367,Multi-objective test report prioritization using image understanding.,2016,ASE,conf/kbse
41,conf/kbse/LegunsenHXRM16,10.1145/2970276.2970356,How good are the specs? a study of the bug-finding effectiveness of existing Java API specifications.,2016,ASE,conf/kbse
42,conf/kbse/TangWWZ16,10.1145/2970276.2970320,Generating test cases to expose concurrency bugs in Android applications.,2016,ASE,conf/kbse
43,conf/kbse/WangCMT16,10.1145/2970276.2970341,Bugram - bug detection with n-gram language models.,2016,ASE,conf/kbse
44,conf/kbse/WangWCW16,10.1145/2970276.2970300,Local-based active classification of test report to assist crowdsourced testing.,2016,ASE,conf/kbse
45,conf/kbse/WenWC16,10.1145/2970276.2970359,Locus - locating bugs from software changes.,2016,ASE,conf/kbse
46,conf/kbse/2016sctdcp,10.1145/2975954,"Proceedings of the 1st International Workshop on Specification, Comprehension, Testing, and Debugging of Concurrent Programs, SCTDCP@ASE 2016, Singapore, Singapore, September 3, 2016",2016,SCTDCP@ASE,conf/kbse
47,conf/kbse/DeligiannisDR15,10.1109/ASE.2015.30,Fast and Precise Symbolic Analysis of Concurrency Bugs in Device Drivers (T).,2015,ASE,conf/kbse
48,conf/kbse/GaoZWXZM15,10.1109/ASE.2015.81,Fixing Recurring Crash Bugs via Analyzing Q&amp;A Sites (T).,2015,ASE,conf/kbse
49,conf/kbse/HongLKJKKK15,10.1109/ASE.2015.14,Mutation-Based Fault Localization for Real-World Multilingual Programs (T).,2015,ASE,conf/kbse
50,conf/kbse/LamNNN15,10.1109/ASE.2015.73,Combining Deep Learning with Information Retrieval to Localize Buggy Files for Bug Reports (N).,2015,ASE,conf/kbse
51,conf/kbse/LinMZCZ15,10.1109/ASE.2015.87,JaConTeBe - A Benchmark Suite of Real-World Java Concurrency Bugs (T).,2015,ASE,conf/kbse
52,conf/kbse/WolflSAKKW15,10.1109/ASE.2015.35,Generating Qualifiable Avionics Software - An Experience Report (E).,2015,ASE,conf/kbse
53,conf/kbse/AbalBW14,10.1145/2642937.2642990,42 variability bugs in the linux kernel - a qualitative analysis.,2014,ASE,conf/kbse
54,conf/kbse/Borg14,10.1145/2642937.2653469,Embrace your issues - compassing the software engineering landscape using bug reports.,2014,ASE,conf/kbse
55,conf/kbse/KochharTL14,10.1145/2642937.2642997,Potential biases in bug localization - do they matter?,2014,ASE,conf/kbse
56,conf/kbse/SeguraSC14,10.1145/2642937.2642939,Automated variability analysis and testing of an E-commerce site. - an experience report.,2014,ASE,conf/kbse
57,conf/kbse/ThungKL14,10.1145/2642937.2648627,DupFinder - integrated tool support for duplicate bug report detection.,2014,ASE,conf/kbse
58,conf/kbse/WangWWYSYLFG14,10.1145/2642937.2642972,Localization of concurrency bugs using shared memory access pairs.,2014,ASE,conf/kbse
59,conf/kbse/ZuddasJPMO14,10.1145/2642937.2643014,MIMIC - locating and understanding bugs by analyzing mimicked executions.,2014,ASE,conf/kbse
60,conf/kbse/CamposAFd13,10.1109/ASE.2013.6693085,Entropy-based test generation for improved fault localization.,2013,ASE,conf/kbse
61,conf/kbse/LouLDFZX13,10.1109/ASE.2013.6693105,Software analytics for incident management of online services - An experience report.,2013,ASE,conf/kbse
62,conf/kbse/OhmannL13,10.1109/ASE.2013.6693096,Lightweight control-flow instrumentation and postmortem analysis in support of debugging.,2013,ASE,conf/kbse
63,conf/kbse/SagdeoEPV13,10.1109/ASE.2013.6693125,Using automatically generated invariants for regression testing and bug localization.,2013,ASE,conf/kbse
64,conf/kbse/SahaLKP13,10.1109/ASE.2013.6693093,Improving bug localization using structured information retrieval.,2013,ASE,conf/kbse
65,conf/kbse/Servant13,10.1109/ASE.2013.6693150,Supporting bug investigation using history analysis.,2013,ASE,conf/kbse
66,conf/kbse/SouzaC13,10.1109/ASE.2013.6693124,Adding context to fault localization with integration coverage.,2013,ASE,conf/kbse
67,conf/kbse/BissyandeRLM12,10.1145/2351676.2351686,Diagnosys - automatic generation of a debugging interface to the Linux kernel.,2012,ASE,conf/kbse
68,conf/kbse/CamposRPA12,10.1145/2351676.2351752,GZoltar - an eclipse plug-in for testing and debugging.,2012,ASE,conf/kbse
69,conf/kbse/GongLJZ12,10.1145/2351676.2351682,Diversity maximization speedup for fault localization.,2012,ASE,conf/kbse
70,conf/kbse/GopinathZK12,10.1145/2351676.2351683,Improving the effectiveness of spectra-based fault localization using specifications.,2012,ASE,conf/kbse
71,conf/kbse/NguyenNNLS12,10.1145/2351676.2351687,Duplicate bug report detection with a combination of information retrieval and topic modeling.,2012,ASE,conf/kbse
72,conf/kbse/ThungLLJRD12,10.1145/2351676.2351685,To what extent could we detect field defects? an empirical study of false negatives in static bug finding tools.,2012,ASE,conf/kbse
73,conf/kbse/YuLCZ12,10.1145/2351676.2351681,Practical isolation of failure-inducing changes for debugging regression faults.,2012,ASE,conf/kbse
74,conf/kbse/Bandyopadhyay11,10.1109/ASE.2011.6100150,Improving spectrum-based fault localization using proximity-based weighting of test cases.,2011,ASE,conf/kbse
75,conf/kbse/BandyopadhyayG11,10.1109/ASE.2011.6100088,Proximity based weighting of test cases to improve spectrum based fault localization.,2011,ASE,conf/kbse
76,conf/kbse/Gonzalez-SanchezAGG11,10.1109/ASE.2011.6100153,Prioritizing tests for fault localization through ambiguity group reduction.,2011,ASE,conf/kbse
77,conf/kbse/GoreRK11,10.1109/ASE.2011.6100107,Statistical debugging with elastic predicates.,2011,ASE,conf/kbse
78,conf/kbse/InsaS11,10.1109/ASE.2011.6100055,An optimal strategy for algorithmic debugging.,2011,ASE,conf/kbse
79,conf/kbse/NguyenNANN11,10.1109/ASE.2011.6100062,A topic-based approach for narrowing the search space of buggy files from a bug report.,2011,ASE,conf/kbse
80,conf/kbse/SunLKJ11,10.1109/ASE.2011.6100061,Towards more accurate retrieval of duplicate bug reports.,2011,ASE,conf/kbse
81,conf/kbse/WangLJLL11,10.1109/ASE.2011.6100124,Search-based fault localization.,2011,ASE,conf/kbse
82,conf/kbse/HahnleBBR10,10.1145/1858996.1859022,A visual interactive debugger based on symbolic execution.,2010,ASE,conf/kbse
83,conf/kbse/KimYS10,10.1145/1858996.1859042,JRF-E - using model checking to give advice on eliminating memory model-related bugs.,2010,ASE,conf/kbse
84,conf/kbse/LawallL10,10.1145/1858996.1859014,An automated approach for finding variable-constant pairing bugs.,2010,ASE,conf/kbse
85,conf/kbse/ShangAH10,10.1145/1858996.1859050,An experience report on scaling tools for mining software repositories using MapReduce.,2010,ASE,conf/kbse
86,conf/kbse/SindhgattaNSVR10,10.1145/1858996.1859049,Timesheet assistant - mining and reporting developer effort.,2010,ASE,conf/kbse
87,conf/kbse/VisserG10,10.1145/1858996.1859071,Impendulo - debugging the programmer.,2010,ASE,conf/kbse
88,conf/kbse/XingSLD10,10.1145/1858996.1859072,SpecDiff - debugging formal specifications.,2010,ASE,conf/kbse
89,conf/kbse/AbreuZG09,10.1109/ASE.2009.25,Spectrum-Based Multiple Fault Localization.,2009,ASE,conf/kbse
90,conf/kbse/AletiGMM09,10.1109/ASE.2009.59,Let the Ants Deploy Your Software - An ACO Based Deployment Optimisation Strategy.,2009,ASE,conf/kbse
91,conf/kbse/AliADW09,10.1109/ASE.2009.89,Evaluating the Accuracy of Fault Localization Techniques.,2009,ASE,conf/kbse
92,conf/kbse/JanssenAG09,10.1109/ASE.2009.27,Zoltar - A Toolset for Automatic Fault Localization.,2009,ASE,conf/kbse
93,conf/kbse/MalikGEK09,10.1109/ASE.2009.92,A Case for Automated Debugging Using Data Structure Repair.,2009,ASE,conf/kbse
94,conf/kbse/ShivajiWAK09,10.1109/ASE.2009.76,Reducing Features to Improve Bug Prediction.,2009,ASE,conf/kbse
95,conf/kbse/WeiglhoferFW09,10.1109/ASE.2009.78,Using Spectrum-Based Fault Localization for Test Case Grouping.,2009,ASE,conf/kbse
96,conf/kbse/WimmerKSKRS09,10.1109/ASE.2009.99,A Petri Net Based Debugging Environment for QVT Relations.,2009,ASE,conf/kbse
97,conf/kbse/HsuJO08,10.1109/ASE.2008.68,Rapid - Identifying Bug Signatures to Support Debugging Activities.,2008,ASE,conf/kbse
98,conf/kbse/JaspanQA08,10.1109/ASE.2008.24,Error Reporting Logic.,2008,ASE,conf/kbse
99,conf/kbse/MayerS08,10.1109/ASE.2008.23,Evaluating Models for Model-Based Debugging.,2008,ASE,conf/kbse
100,conf/kbse/MesnageJ08,10.1109/ASEW.2008.4686306,Social thinking to design social software - A course experience report.,2008,ASE Workshops,conf/kbse
101,conf/kbse/Yom-TovTUH08,10.1109/ASE.2008.41,Automatic Debugging of Concurrent Programs through Active Sampling of Low Dimensional Random Projections.,2008,ASE,conf/kbse
102,conf/kbse/DallmeierZ07,10.1145/1321631.1321702,Extraction of bug localization benchmarks from history.,2007,ASE,conf/kbse
103,conf/kbse/HooimeijerW07,10.1145/1321631.1321639,Modeling bug report quality.,2007,ASE,conf/kbse
104,conf/kbse/JiangS07,10.1145/1321631.1321660,Context-aware statistical debugging - from bug predictors to faulty control flow paths.,2007,ASE,conf/kbse
105,conf/kbse/YilmazW07,10.1145/1321631.1321659,An automated model-based debugging approach.,2007,ASE,conf/kbse
106,conf/kbse/KimZPW06,10.1109/ASE.2006.23,Automatic Identification of Bug-Introducing Changes.,2006,ASE,conf/kbse
107,conf/kbse/FriasGSB05,10.1145/1101908.1101956,"A strategy for efficient verification of relational specifications, based on monotonicity analysis.",2005,ASE,conf/kbse
108,conf/kbse/HaoPZZMS05,10.1145/1101908.1101953,A similarity-aware approach to testing based fault localization.,2005,ASE,conf/kbse
109,conf/kbse/WangR05,10.1145/1101908.1101966,Automated path generation for software fault localization.,2005,ASE,conf/kbse
110,conf/kbse/MarceauCKR04,10.1109/ASE.2004.10033,Dataflow Language for Scriptable Debugging.,2004,ASE,conf/kbse
111,conf/kbse/PerssonY04,10.1109/ASE.2004.10036,Establishment of Automated Regression Testing at ABB - Industrial Experience Report on &apos;Avoiding the Pitfalls&apos;.,2004,ASE,conf/kbse
112,conf/kbse/BunusF03,10.1109/ASE.2003.1240315,Semi-Automatic Fault Localization and Behavior Verification for Physical System Simulation Models.,2003,ASE,conf/kbse
113,conf/kbse/MayerS03,10.1109/ASE.2003.1240312,Extending Diagnosis to Debug Programs with Exceptions.,2003,ASE,conf/kbse
114,conf/kbse/RenierisR03,10.1109/ASE.2003.1240292,Fault Localization With Nearest Neighbor Queries.,2003,ASE,conf/kbse
115,conf/kbse/SearleGA03,10.1109/ASE.2003.1240337,Automating Relative Debugging.,2003,ASE,conf/kbse
116,conf/kbse/ShlyakhterSJST03,10.1109/ASE.2003.1240298,Debugging Overconstrained Declarative Models Using Unsatisfiable Cores.,2003,ASE,conf/kbse
117,conf/kbse/AugustonJU02,10.1109/ASE.2002.1115015,A Framework for Automatic Debugging.,2002,ASE,conf/kbse
118,conf/kbse/LedruR02,10.1109/ASE.2002.1115038,Report on the Workshop on the State of the Art in Automated Software Engineering.,2002,ASE,conf/kbse
119,conf/kbse/RoachB02,10.1109/ASE.2002.1114996,Experience Report on Automated Procedure Construction for Deductive Synthesis.,2002,ASE,conf/kbse
120,conf/kbse/GoualardB99,10.1109/ASE.1999.802142,A Visualization Tool for Constraint Program Debugging.,1999,ASE,conf/kbse
121,conf/kbse/McCluskeyW98,10.1109/ASE.1998.732591,Towards the Automated Debugging and Maintenance of Logic-based Requirements Models.,1998,ASE,conf/kbse
122,conf/kbse/Gaugne97,10.1109/ASE.1997.632853,A Static Analysis for Program Understanding and Debugging.,1997,ASE,conf/kbse
123,conf/kbse/KorelskyMR93,10.1109/KBSE.1993.341211,Knowledge requirements for the automatic generation of project management reports.,1993,KBSE,conf/kbse
124,conf/kbse/AllemangC91,10.1109/KBSE.1991.638030,Functional Representation and Program Debugging.,1991,KBSE,conf/kbse
125,conf/ast/Barboni0P21,10.1109/AST52587.2021.00014,SuMo - A Mutation Testing Strategy for Solidity Smart Contracts.,2021,AST@ICSE,conf/icse
126,conf/ast/VinceHB021,10.1109/AST52587.2021.00015,Extending Hierarchical Delta Debugging with Hoisting.,2021,AST@ICSE,conf/icse
127,conf/icse-apr/Krasniqi21,10.1109/APR52552.2021.00014,Extractive Summarization of Related Bug-fixing Comments in Support of Bug Repair.,2021,APR@ICSE,conf/icse
128,conf/icse-apr/WangZ21,10.1109/APR52552.2021.00012,Domain invariant-based spreadsheet debugging.,2021,APR@ICSE,conf/icse
129,conf/icse-encycris/BoseRS21,10.1109/ENCYCRIS52570.2021.00009,&apos;Under-reported&apos; Security Defects in Kubernetes Manifests.,2021,EnCyCriS@ICSE,conf/icse
130,conf/icse-qse/CamposS21,10.1109/Q-SE52541.2021.00013,QBugs - A Collection of Reproducible Bugs in Quantum Algorithms and a Supporting Infrastructure to Enable Controlled Quantum Software Testing and Debugging Experiments.,2021,Q-SE@ICSE,conf/icse
131,conf/icse-qse/ZhaoZM21,10.1109/Q-SE52541.2021.00011,Identifying Bug Patterns in Quantum Programs.,2021,Q-SE@ICSE,conf/icse
132,conf/icse-seeng/Silvis-Cividjian21,10.1109/SEENG53126.2021.00010,Awesome Bug Manifesto - Teaching an Engaging and Inspiring Course on Software Testing (Position Paper).,2021,SEENG@ICSE,conf/icse
133,conf/icse-seh/KicsiLPV21,10.1109/SEH52539.2021.00010,Automatic Classification and Entity Relation Detection in Hungarian Spinal MRI Reports.,2021,SEH@ICSE,conf/icse
134,conf/icse-wain/ChaddaSCG21,10.1109/WAIN52551.2021.00029,Engineering an Intelligent Essay Scoring and Feedback System - An Experience Report.,2021,WAIN@ICSE,conf/icse
135,conf/icse/0009CSLS21,10.1109/ICSE-SEIP52600.2021.00015,An Interview Study of how Developers use Execution Logs in Embedded Software Engineering.,2021,ICSE,conf/icse
136,conf/icse/Aleithan21,10.1109/ICSE-COMPANION52605.2021.00056,Explainable Just-In-Time Bug Prediction - Are We There Yet?,2021,ICSE,conf/icse
137,conf/icse/ChatterjeeGSEMB21,10.1109/ICSE43902.2021.00128,AID - An automated detector for gender-inclusivity bugs in OSS project pages.,2021,ICSE,conf/icse
138,conf/icse/ChongTT21,10.1109/ICSE-SEET52601.2021.00011,"Assessing the Students&apos; Understanding and their Mistakes in Code Review Checklists - An Experience Report of 1, 791 Code Review Checklist Questions from 394 Students.",2021,ICSE,conf/icse
139,conf/icse/CooperBCMP21,10.1109/ICSE43902.2021.00091,It Takes Two to TANGO - Combining Visual and Textual Information for Detecting Duplicate Video-Based Bug Reports.,2021,ICSE,conf/icse
140,conf/icse/CooperBCMP21a,10.1109/ICSE-COMPANION52605.2021.00067,A Replication Package for It Takes Two to Tango - Combining Visual and Textual Information for Detecting Duplicate Video-Based Bug Reports.,2021,ICSE,conf/icse
141,conf/icse/DaunBGKW21,10.1109/ICSE-SEET52601.2021.00013,Teaching Model-Based Requirements Engineering to Industry Professionals - An Experience Report.,2021,ICSE,conf/icse
142,conf/icse/HaeringSM21,10.1109/ICSE43902.2021.00092,Automatically Matching Bug Reports With Related App Reviews.,2021,ICSE,conf/icse
143,conf/icse/JiaLYZXLWL21,10.1109/ICSE43902.2021.00021,DepOwl - Detecting Dependency Bugs to Prevent Compatibility Failures.,2021,ICSE,conf/icse
144,conf/icse/JiangLNZH21,10.1109/ICSE43902.2021.00069,Extracting Concise Bug-Fixing Patches from Human-Written Patches in Version Control Systems.,2021,ICSE,conf/icse
145,conf/icse/JuSKH21a,10.1109/ICSE-COMPANION52605.2021.00102,"Research Tools, Survey Responses, and Interview Analysis from a Case Study of Onboarding Software Teams at Microsoft.",2021,ICSE,conf/icse
146,conf/icse/KucukHP21,10.1109/ICSE43902.2021.00066,Improving Fault Localization by Integrating Value and Predicate Based Causal Inference Techniques.,2021,ICSE,conf/icse
147,conf/icse/KucukHP21a,10.1109/ICSE-COMPANION52605.2021.00078,Artifact for Improving Fault Localization by Integrating Value and Predicate Based Causal Inference Techniques.,2021,ICSE,conf/icse
148,conf/icse/LeFU0GT21,10.1109/ICSE-NIER52604.2021.00025,DIRECTDEBUG - Automated Testing and Debugging of Feature Models.,2021,ICSE,conf/icse
149,conf/icse/Li0N21a,10.1109/ICSE43902.2021.00067,Fault Localization with Code Coverage Representation Learning.,2021,ICSE,conf/icse
150,conf/icse/Makhshari021,10.1109/ICSE43902.2021.00051,IoT Bugs and Development Challenges.,2021,ICSE,conf/icse
151,conf/icse/Makhshari021a,10.1109/ICSE-COMPANION52605.2021.00103,IoT Development In The Wild - Bug Taxonomy and Developer Challenges.,2021,ICSE,conf/icse
152,conf/icse/MuraliGQ021,10.1109/ICSE-SEIP52600.2021.00028,Industry-Scale IR-Based Bug Localization - A Perspective from Facebook.,2021,ICSE,conf/icse
153,conf/icse/NuryyevNBB21,10.1109/ICSE-SEIP52600.2021.00012,Challenges of Implementing Software Variability in Eclipse OMR - An Interview Study.,2021,ICSE,conf/icse
154,conf/icse/TanHLZZ21,10.1109/ICSE-SEET52601.2021.00009,GitHub-OSS Fixit - Fixing Bugs at Scale in a Software Engineering Course.,2021,ICSE,conf/icse
155,conf/icse/TrueloveA021,10.1109/ICSE43902.2021.00073,We&apos;ll Fix It in Post - What Do Bug Fixes in Video Game Update Notes Tell Us?,2021,ICSE,conf/icse
156,conf/icse/TrueloveA021a,10.1109/ICSE-COMPANION52605.2021.00120,We&apos;ll Fix it in Post - What Do Bug Fixes in Video Game Update Notes Tell Us?,2021,ICSE,conf/icse
157,conf/icse/Wang00GW21,10.1109/ICSE43902.2021.00117,Automatic Solution Summarization for Crash Bugs.,2021,ICSE,conf/icse
158,conf/icse/WardatLR21,10.1109/ICSE43902.2021.00034,DeepLocalize - Fault Localization for Deep Neural Networks.,2021,ICSE,conf/icse
159,conf/icse/YuFCWLC21,10.1109/ICSE43902.2021.00090,Prioritize Crowdsourced Test Reports via Deep Screenshot Understanding.,2021,ICSE,conf/icse
160,conf/icse/ZhengNBRFAB21,10.1109/ICSE43902.2021.00065,FLACK - Counterexample-Guided Fault Localization for Alloy Models.,2021,ICSE,conf/icse
161,conf/icse/ZhengNBRFAB21a,10.1109/ICSE-COMPANION52605.2021.00077,Artifact of &apos;FLACK - Counterexample-Guided Fault Localization for Alloy Models&apos;.,2021,ICSE,conf/icse
162,conf/serip-ws/HirschH21,10.1109/SER-IP52554.2021.00014,What we can learn from how programmers debug their code.,2021,SER&amp;IP@ICSE,conf/icse
163,conf/soheal-ws/JansenKCM21,10.1109/SOHEAL52568.2021.00009,Does the duration of rapid release cycles affect the bug handling activity?,2021,SoHeal@ICSE,conf/icse
164,conf/icse/AnvikG20,10.1145/3387940.3392236,Are Automatic Bug Report Summarizers Missing the Target?,2020,ICSE,conf/icse
165,conf/icse/ArokiamB20,10.1145/3377816.3381738,Automatically predicting bug severity early in the development process.,2020,ICSE,conf/icse
166,conf/icse/AsadGS20,10.1145/3387940.3392182,Impact of Similarity on Repairing Small Programs - A Case Study on QuixBugs Benchmark.,2020,ICSE,conf/icse
167,conf/icse/BehrooziSBP20,10.1145/3377815.3381372,Debugging hiring - what went right and what went wrong in the technical interview process.,2020,ICSE-SEIS,conf/icse
168,conf/icse/BleserNR20,10.1145/3387903.3389303,A Delta-Debugging Approach to Assessing the Resilience of Actor Programs through Run-time Test Perturbations.,2020,AST@ICSE,conf/icse
169,conf/icse/ChowdhurySJC20,10.1145/3377811.3380381,SLEMI - equivalence modulo input (EMI) based mutation of CPS models for finding compiler bugs in Simulink.,2020,ICSE,conf/icse
170,conf/icse/ChowdhurySJC20a,10.1145/3377812.3382147,SLEMI - finding simulink compiler bugs through equivalence modulo input (EMI).,2020,ICSE,conf/icse
171,conf/icse/DekhtyarSS20,10.1145/3387940.3392164,Educating Project Stakeholders - A Preliminary Report.,2020,ICSE,conf/icse
172,conf/icse/Fischer-Nielsen20,10.1145/3377813.3381364,The forgotten case of the dependency bugs - on the example of the robot operating system.,2020,ICSE,conf/icse
173,conf/icse/GarciaF0AXC20,10.1145/3377811.3380397,A comprehensive study of autonomous vehicle bugs.,2020,ICSE,conf/icse
174,conf/icse/GauthierJKHSBL20,10.1145/3387906.3388623,Trade-offs in managing risk and technical debt in industrial research labs - an experience report.,2020,TechDebt@ICSE,conf/icse
175,conf/icse/Herbold20,10.1145/3377816.3381721,With registered reports towards large scale data curation.,2020,ICSE,conf/icse
176,conf/icse/IngramCBU20,10.1145/3387940.3391479,Generating Real-World Impact from Academic Research - Experience Report from a University Impact Hub.,2020,ICSE,conf/icse
177,conf/icse/JeonH20,10.1145/3377816.3381746,Threats to validity in experimenting mutation-based fault localization.,2020,ICSE,conf/icse
178,conf/icse/KimSSSJPMK20,10.1145/3377813.3381371,Automatic abnormal log detection by analyzing log history for providing debugging insight.,2020,ICSE,conf/icse
179,conf/icse/KirschnerSZ20,10.1145/3377811.3380329,Debugging inputs.,2020,ICSE,conf/icse
180,conf/icse/KirschnerSZ20a,10.1145/3377812.3390797,Debugging inputs.,2020,ICSE,conf/icse
181,conf/icse/Li20b,10.1145/3377812.3382172,Improving bug detection and fixing via code representation learning.,2020,ICSE,conf/icse
182,conf/icse/LiGFLZL20,10.1145/3377813.3381355,Automated bug reproduction from user reviews for Android applications.,2020,ICSE,conf/icse
183,conf/icse/LiT20,10.1145/3377812.3390906,Bugine - a bug report recommendation system for Android apps.,2020,ICSE,conf/icse
184,conf/icse/MaCZFXCZX20,10.1145/3377811.3380442,Impact analysis of cross-project bugs on software ecosystems.,2020,ICSE,conf/icse
185,conf/icse/Miranskyy0D20,10.1145/3377816.3381731,Is your quantum program bug-free?,2020,ICSE,conf/icse
186,conf/icse/Pan20,10.1145/3377812.3382175,Does fixing bug increase robustness in deep learning?,2020,ICSE,conf/icse
187,conf/icse/QianYPMF020,10.1145/3377813.3381369,Debugging crashes using continuous contrast set mining.,2020,ICSE,conf/icse
