,paper id,doi,title,year,forum,forum id,mendeley keywords,publication ids,mendeley id
17,conf/kbse/RahatFT19,10.1109/ASE.2019.00036,OAUTHLINT - An Empirical Study on OAuth Bugs in Android Applications.,2019,ASE,conf/kbse,"('Android', 'Bug Finding', 'OAuth', 'Security', 'Static Analysis')","(('isbn', '9781728125084'), ('sgr', '85078914786'), ('doi', '10.1109/ASE.2019.00036'), ('pui', '630811461'), ('scopus', '2-s2.0-85078914786'))",5cd6e710-d570-3aa1-a3d0-f916e58fa09b
18,conf/kbse/StepanovAB19,10.1109/ASE.2019.00038,ReduKtor - How We Stopped Worrying About Bugs in Kotlin Compiler.,2019,ASE,conf/kbse,"('Compiler testing', 'Delta debugging', 'Input reduction', 'Program fuzzing', 'Program slicing')","(('pui', '630811084'), ('scopus', '2-s2.0-85078878483'), ('isbn', '9781728125084'), ('doi', '10.1109/ASE.2019.00038'), ('sgr', '85078878483'))",a8904c3c-736e-321b-8994-cfaab9fa8001
19,conf/kbse/Wu0C19,10.1109/ASE.2019.00143,Better Development of Safety Critical Systems - Chinese High Speed Railway System Development Experience Report.,2019,ASE,conf/kbse,"('Formal Method', 'Model-Driven', 'SAT', 'SysML')","(('sgr', '85078901869'), ('isbn', '9781728125084'), ('doi', '10.1109/ASE.2019.00143'), ('pui', '630810956'), ('scopus', '2-s2.0-85078901869'))",7d617bbf-ecb1-3cf2-9f1a-faf60959f054
20,conf/kbse/Yu19a,10.1109/ASE.2019.00161,Crowdsourced Report Generation via Bug Screenshot Understanding.,2019,ASE,conf/kbse,"('Bug Report Generation', 'Crowdsourced Testing', 'Mobile App Testing')","(('sgr', '85078906142'), ('isbn', '9781728125084'), ('doi', '10.1109/ASE.2019.00161'), ('pui', '630810977'), ('scopus', '2-s2.0-85078906142'))",0f7cc268-568a-36d2-9693-2ebb9a98e249
21,conf/kbse/Arora0IKR18,10.1145/3238147.3238186,Replay without recording of production bugs for service oriented applications.,2018,ASE,conf/kbse,"('Fault reproduction', 'Live debugging')","(('isbn', '9781450359375'), ('sgr', '85056523679'), ('doi', '10.1145/3238147.3238186'), ('pui', '624953332'), ('scopus', '2-s2.0-85056523679'))",66a1bd25-568e-3e74-be3f-35fdc467095b
22,conf/kbse/GafurovHM18,10.1145/3238147.3240463,Achieving test automation with testers without coding skills - an industrial report.,2018,ASE,conf/kbse,"('DSL for test automation', 'Helsenorge', 'Keyword-driven test automation', 'Process-driven test automation', 'Test automation')","(('sgr', '85056528902'), ('isbn', '9781450359375'), ('doi', '10.1145/3238147.3240463'), ('pui', '624952946'), ('scopus', '2-s2.0-85056528902'))",a45f1c09-6094-376d-99b4-c12712b49926
23,conf/kbse/HabibP18a,10.1145/3238147.3238213,How many of all bugs do we find? a study of static bug detectors.,2018,ASE,conf/kbse,"('Bug finding', 'Defects4J', 'Static analysis', 'Static bug checkers')","(('isbn', '9781450359375'), ('sgr', '85056492801'), ('doi', '10.1145/3238147.3238213'), ('pui', '624953321'), ('scopus', '2-s2.0-85056492801'))",b04e3f96-b943-3fa7-81d7-c4695316676c
24,conf/kbse/HanYL18,10.1145/3238147.3238204,PerfLearner - learning from bug reports to understand and generate performance test frames.,2018,ASE,conf/kbse,"('Performance bugs', 'Software mining', 'Software testing')","(('pui', '624953237'), ('scopus', '2-s2.0-85056500372'), ('isbn', '9781450359375'), ('doi', '10.1145/3238147.3238204'), ('sgr', '85056500372'))",f3da5841-15c4-3f9b-ba39-ba0a355924b3
25,conf/kbse/HuWLCH18,10.1145/3238147.3238180,A tale of two cities - how WebView induces bugs to Android applications.,2018,ASE,conf/kbse,"('Android system WebView', 'Empirical study', 'GUI testing')","(('isbn', '9781450359375'), ('sgr', '85056516458'), ('doi', '10.1145/3238147.3238180'), ('pui', '624953318'), ('scopus', '2-s2.0-85056516458'))",f7836070-3740-3dcd-85f4-8634bcb002d8
26,conf/kbse/LemieuxS18,10.1145/3238147.3238176,FairFuzz - a targeted mutation strategy for increasing greybox fuzz testing coverage.,2018,ASE,conf/kbse,"('Coverage-guided greybox fuzzing', 'Fuzz testing', 'Rare branches')","(('isbn', '9781450359375'), ('sgr', '85056558814'), ('doi', '10.1145/3238147.3238176'), ('pui', '624953276'), ('scopus', '2-s2.0-85056558814'))",61a22876-8db6-3dd7-836d-2c8cf41b4103
27,conf/kbse/Lin0TBWD18,10.1145/3238147.3238163,Break the dead end of dynamic slicing - localizing data and control omission bug.,2018,ASE,conf/kbse,"('Debugging', 'Empirical study', 'Omission error', 'Program slice')","(('pui', '624953330'), ('scopus', '2-s2.0-85056498267'), ('isbn', '9781450359375'), ('doi', '10.1145/3238147.3238163'), ('sgr', '85056498267'))",02a38e54-b69a-3b4b-a91e-52ef0030e757
28,conf/kbse/LinWLSZW18,10.1145/3238147.3238198,PFix - fixing concurrency bugs based on memory access patterns.,2018,ASE,conf/kbse,"('Automatic fixing', 'Concurrency bugs', 'Locking policy', 'Memory-access pattern', 'Multi-threading')","(('pui', '624953043'), ('scopus', '2-s2.0-85056547559'), ('isbn', '9781450359375'), ('doi', '10.1145/3238147.3238198'), ('sgr', '85056547559'))",4ba60213-707d-3403-903a-1ec948e74b02
29,conf/kbse/TufanoWBPWP18,10.1145/3238147.3240732,An empirical investigation into learning bug-fixing patches in the wild via neural machine translation.,2018,ASE,conf/kbse,"('Bug-fixes', 'Neural machine translation')","(('sgr', '85056518629'), ('isbn', '9781450359375'), ('doi', '10.1145/3238147.3240732'), ('pui', '624953116'), ('scopus', '2-s2.0-85056518629'))",19e636a3-8caf-3018-9409-d8a7c30abf99
30,conf/kbse/ZhouPX0LJD18,10.1145/3238147.3240730,Delta debugging microservice systems.,2018,ASE,conf/kbse,"('Delta Debugging', 'Microservice', 'Testing')","(('isbn', '9781450359375'), ('sgr', '85056537506'), ('doi', '10.1145/3238147.3240730'), ('pui', '624953100'), ('scopus', '2-s2.0-85056537506'))",1f23dc0e-2916-3f7f-9ec0-dac2bdf2a377
31,conf/kbse/CastanoBGU17,10.1109/ASE.2017.8115633,Model checker execution reports.,2017,ASE,conf/kbse,(),"(('pui', '620554623'), ('scopus', '2-s2.0-85041444655'), ('isbn', '9781538626849'), ('doi', '10.1109/ASE.2017.8115633'), ('sgr', '85041444655'))",d3e00968-6f21-32e1-9b80-ed122e0ade66
32,conf/kbse/FrancoGR17,10.1109/ASE.2017.8115662,A comprehensive study of real-world numerical bug characteristics.,2017,ASE,conf/kbse,(),"(('pui', '620554294'), ('scopus', '2-s2.0-85041435266'), ('isbn', '9781538626849'), ('doi', '10.1109/ASE.2017.8115662'), ('sgr', '85041435266'))",85f7056a-3169-3789-b1cf-de15003ef747
33,conf/kbse/NguyenS0TP17,10.1109/ASE.2017.8115686,Parallel bug-finding in concurrent programs via reduced interleaving instances.,2017,ASE,conf/kbse,"('Verification', 'concurrency', 'sequentialization', 'swarm verification')","(('pui', '620554625'), ('scopus', '2-s2.0-85041433770'), ('issn', '0928-8910'), ('isbn', '9781538626849'), ('doi', '10.1109/ASE.2017.8115686'), ('sgr', '85041433770'))",bf89c78f-6d30-337e-adc2-233275ef1078
34,conf/kbse/Wang17,10.1109/ASE.2017.8115720,Characterizing and taming non-deterministic bugs in JavaScript applications.,2017,ASE,conf/kbse,"('JavaScript', 'Node.js', 'bug detection', 'empirical study', 'non-deterministic bug', 'record and replay')","(('pui', '620554402'), ('scopus', '2-s2.0-85041439849'), ('isbn', '9781538626849'), ('doi', '10.1109/ASE.2017.8115720'), ('sgr', '85041439849'))",ed02788d-3a1c-3558-9ee9-cd68cd93d1a5
35,conf/kbse/WangDGGQYW17,10.1109/ASE.2017.8115663,A comprehensive study on real world concurrency bugs in Node.js.,2017,ASE,conf/kbse,"('JavaScript', 'Node.js', 'concurrency bug', 'empirical study', 'event-driven')","(('pui', '620554316'), ('scopus', '2-s2.0-85041451754'), ('isbn', '9781538626849'), ('doi', '10.1109/ASE.2017.8115663'), ('sgr', '85041451754'))",54fb863d-3a56-3d52-bdba-b1e3001fd0ae
36,conf/kbse/0002HB16a,10.1145/2970276.2970292,The interactive verification debugger - effective understanding of interactive proof attempts.,2016,ASE,conf/kbse,"('Debugging', 'Program Execution Visualization', 'Proof Understanding', 'Symbolic Execution', 'Verification')","(('pui', '612460427'), ('scopus', '2-s2.0-84989170632'), ('isbn', '9781450338455'), ('doi', '10.1145/2970276.2970292'), ('sgr', '84989170632'))",cf6194c3-a6f5-3763-8fb1-2832d5ca52c9
37,conf/kbse/AlmhanaMK016,10.1145/2970276.2970344,Recommending relevant classes for bug reports using multi-objective search.,2016,ASE,conf/kbse,"('Bug reports', 'Multi-objective optimization', 'Search-based software engineering', 'Software maintenance')","(('sgr', '84989183270'), ('isbn', '9781450338455'), ('doi', '10.1145/2970276.2970344'), ('pui', '612460440'), ('scopus', '2-s2.0-84989183270'))",de12aa06-98a6-3c0e-a9e5-f250d20d037b
38,conf/kbse/AsadollahSESH16,10.1145/2975954.2975958,A model for systematic monitoring and debugging of starvation bugs in multicore software.,2016,SCTDCP@ASE,conf/kbse,"('Concurrency bugs', 'Concurrent program', 'Debugging', 'Monitoring', 'Multicore software', 'Parallel application', 'Starvation bug')","(('pui', '624294064'), ('scopus', '2-s2.0-85054810213'), ('isbn', '9781450345101'), ('doi', '10.1145/2975954.2975958'), ('sgr', '85054810213'))",c91638c5-c976-3f17-9d22-9c97915016b1
39,conf/kbse/BocicB16,10.1145/2970276.2970350,Finding access control bugs in web applications with CanCheck.,2016,ASE,conf/kbse,"('Access Control', 'Logic-based Verification', 'Web Applications')","(('pui', '612460378'), ('scopus', '2-s2.0-84989184744'), ('isbn', '9781450338455'), ('doi', '10.1145/2970276.2970350'), ('sgr', '84989184744'))",e9f55783-a55d-30de-8973-4208dbdca07c
40,conf/kbse/FengJCF16,10.1145/2970276.2970367,Multi-objective test report prioritization using image understanding.,2016,ASE,conf/kbse,"('Crowdsourced Testing', 'Image Understanding', 'Multi-Objective Optimization', 'Test Report Prioritization')","(('sgr', '84989203101'), ('isbn', '9781450338455'), ('doi', '10.1145/2970276.2970367'), ('pui', '612460404'), ('scopus', '2-s2.0-84989203101'))",17a4cb1d-848e-3065-a7b3-bbacb78ea399
41,conf/kbse/LegunsenHXRM16,10.1145/2970276.2970356,How good are the specs? a study of the bug-finding effectiveness of existing Java API specifications.,2016,ASE,conf/kbse,"('Empirical study', 'Runtime verification', 'Specification quality')","(('pui', '612460286'), ('scopus', '2-s2.0-84989172598'), ('isbn', '9781450338455'), ('doi', '10.1145/2970276.2970356'), ('sgr', '84989172598'))",ca3d6714-1697-3ea3-9e46-db636aedc153
42,conf/kbse/TangWWZ16,10.1145/2970276.2970320,Generating test cases to expose concurrency bugs in Android applications.,2016,ASE,conf/kbse,"('Android', 'Data race', 'Mobile application', 'Record/replay', 'Testing')","(('pui', '612460308'), ('scopus', '2-s2.0-84989180792'), ('isbn', '9781450338455'), ('doi', '10.1145/2970276.2970320'), ('sgr', '84989180792'))",20db1b10-f16a-3e7d-bc07-6d1630d16f09
43,conf/kbse/WangCMT16,10.1145/2970276.2970341,Bugram - bug detection with n-gram language models.,2016,ASE,conf/kbse,"('Bug Detection', 'N-gram Language Model', 'Static Code Analysis')","(('pui', '612460356'), ('scopus', '2-s2.0-84989179964'), ('isbn', '9781450338455'), ('doi', '10.1145/2970276.2970341'), ('sgr', '84989179964'))",b47c1ee3-80d1-3ecc-b537-44b8bdcf747d
44,conf/kbse/WangWCW16,10.1145/2970276.2970300,Local-based active classification of test report to assist crowdsourced testing.,2016,ASE,conf/kbse,"('Active Learning', 'Crowdsourced Testing', 'Test Report Classification')","(('sgr', '84989154013'), ('isbn', '9781450338455'), ('doi', '10.1145/2970276.2970300'), ('pui', '612460396'), ('scopus', '2-s2.0-84989154013'))",6bacaad2-25c1-393a-a190-860c29690599
45,conf/kbse/WenWC16,10.1145/2970276.2970359,Locus - locating bugs from software changes.,2016,ASE,conf/kbse,"('Bug localization', 'Information retrieval', 'Software analytics', 'Software changes')","(('isbn', '9781450338455'), ('sgr', '84989193436'), ('doi', '10.1145/2970276.2970359'), ('pui', '612460423'), ('scopus', '2-s2.0-84989193436'))",4781eae5-9c93-348c-95bc-61827d4a6bae
46,conf/kbse/2016sctdcp,10.1145/2975954,"Proceedings of the 1st International Workshop on Specification, Comprehension, Testing, and Debugging of Concurrent Programs, SCTDCP@ASE 2016, Singapore, Singapore, September 3, 2016",2016,SCTDCP@ASE,conf/kbse,,,
47,conf/kbse/DeligiannisDR15,10.1109/ASE.2015.30,Fast and Precise Symbolic Analysis of Concurrency Bugs in Device Drivers (T).,2015,ASE,conf/kbse,(),"(('pui', '609993383'), ('scopus', '2-s2.0-84963830565'), ('isbn', '9781509000241'), ('doi', '10.1109/ASE.2015.30'), ('sgr', '84963830565'))",ea83b664-985a-3d52-bded-d1cb5d5ca76e
48,conf/kbse/GaoZWXZM15,10.1109/ASE.2015.81,Fixing Recurring Crash Bugs via Analyzing Q&amp;A Sites (T).,2015,ASE,conf/kbse,(),"(('sgr', '84963852339'), ('isbn', '9781509000241'), ('doi', '10.1109/ASE.2015.81'), ('pui', '609993397'), ('scopus', '2-s2.0-84963852339'))",abf4e11a-9a9d-339f-a84f-8fbafbca4df8
49,conf/kbse/HongLKJKKK15,10.1109/ASE.2015.14,Mutation-Based Fault Localization for Real-World Multilingual Programs (T).,2015,ASE,conf/kbse,"('Debugging', 'Fault Localization', 'Multilingual Programs', 'Mutation Analysis', 'Mutation Based Fault Localization')","(('pui', '609993413'), ('scopus', '2-s2.0-84963836318'), ('isbn', '9781509000241'), ('doi', '10.1109/ASE.2015.14'), ('sgr', '84963836318'))",683f87ef-c485-3b87-811f-39a9af04a40d
50,conf/kbse/LamNNN15,10.1109/ASE.2015.73,Combining Deep Learning with Information Retrieval to Localize Buggy Files for Bug Reports (N).,2015,ASE,conf/kbse,"('Bug Localization', 'Bug Reports', 'Deep Learning', 'Deep Neural Network', 'Information Retrieval')","(('sgr', '84963795380'), ('isbn', '9781509000241'), ('doi', '10.1109/ASE.2015.73'), ('pui', '609993376'), ('scopus', '2-s2.0-84963795380'))",f9c87663-5981-3d4c-9a9e-d32304940029
51,conf/kbse/LinMZCZ15,10.1109/ASE.2015.87,JaConTeBe - A Benchmark Suite of Real-World Java Concurrency Bugs (T).,2015,ASE,conf/kbse,"('Benchmark suite', 'Evaluations', 'JaConTeBe', 'Java concurrency bugs', 'SIR')","(('isbn', '9781509000241'), ('sgr', '84963808718'), ('doi', '10.1109/ASE.2015.87'), ('pui', '609993330'), ('scopus', '2-s2.0-84963808718'))",e23e0baa-9385-38e6-8938-296c778c79c5
52,conf/kbse/WolflSAKKW15,10.1109/ASE.2015.35,Generating Qualifiable Avionics Software - An Experience Report (E).,2015,ASE,conf/kbse,(),"(('sgr', '84963811411'), ('isbn', '9781509000241'), ('doi', '10.1109/ASE.2015.35'), ('pui', '609993382'), ('scopus', '2-s2.0-84963811411'))",ea8b6fbb-c0b0-3b76-825b-6bd0670d4259
53,conf/kbse/AbalBW14,10.1145/2642937.2642990,42 variability bugs in the linux kernel - a qualitative analysis.,2014,ASE,conf/kbse,"('Bugs', 'Feature interactions', 'Linux', 'Software variability')","(('sgr', '84908635167'), ('isbn', '9781450330138'), ('doi', '10.1145/2642937.2642990'), ('pui', '600388321'), ('scopus', '2-s2.0-84908635167'))",0c081956-1e8a-322f-a138-495027f08f0e
54,conf/kbse/Borg14,10.1145/2642937.2653469,Embrace your issues - compassing the software engineering landscape using bug reports.,2014,ASE,conf/kbse,"('Information retrieval', 'Issue management', 'Machine learning', 'Recommendation systems')","(('isbn', '9781450330138'), ('sgr', '84908627868'), ('doi', '10.1145/2642937.2653469'), ('pui', '600388317'), ('scopus', '2-s2.0-84908627868'))",033a341f-0811-34a3-ae95-330d4ab91052
55,conf/kbse/KochharTL14,10.1145/2642937.2642997,Potential biases in bug localization - do they matter?,2014,ASE,conf/kbse,"('Bias', 'Bug localization', 'Empirical study', 'Issue reports')","(('pui', '600388287'), ('scopus', '2-s2.0-84908653194'), ('isbn', '9781450330138'), ('doi', '10.1145/2642937.2642997'), ('sgr', '84908653194'))",44210586-5702-390e-bb67-225827ea3792
56,conf/kbse/SeguraSC14,10.1145/2642937.2642939,Automated variability analysis and testing of an E-commerce site. - an experience report.,2014,ASE,conf/kbse,"('Automated testing', 'E-commerce', 'Experience report', 'Feature modelling', 'Variability')","(('pui', '600388246'), ('scopus', '2-s2.0-84908626279'), ('isbn', '9781450330138'), ('doi', '10.1145/2642937.2642939'), ('sgr', '84908626279'))",91752a0a-b40e-3a7b-9753-ab1d6b4abf99
57,conf/kbse/ThungKL14,10.1145/2642937.2648627,DupFinder - integrated tool support for duplicate bug report detection.,2014,ASE,conf/kbse,"('Bugzilla', 'Duplicate bug reports', 'Integrated tool support')","(('sgr', '84908618742'), ('isbn', '9781450330138'), ('doi', '10.1145/2642937.2648627'), ('pui', '600388309'), ('scopus', '2-s2.0-84908618742'))",fbf4b7ee-3342-3656-9398-d7c270ac53b6
58,conf/kbse/WangWWYSYLFG14,10.1145/2642937.2642972,Localization of concurrency bugs using shared memory access pairs.,2014,ASE,conf/kbse,"('Concurrency bug', 'Localization', 'Shared memory access pair')","(('isbn', '9781450330138'), ('sgr', '84908655624'), ('doi', '10.1145/2642937.2642972'), ('pui', '600388236'), ('scopus', '2-s2.0-84908655624'))",13ca5f33-48cd-38fe-8052-7f8b89c4770f
59,conf/kbse/ZuddasJPMO14,10.1145/2642937.2643014,MIMIC - locating and understanding bugs by analyzing mimicked executions.,2014,ASE,conf/kbse,"('Anomaly detection', 'Debugging', 'Execution synthesis')","(('isbn', '9781450330138'), ('sgr', '84908611346'), ('doi', '10.1145/2642937.2643014'), ('pui', '600388288'), ('scopus', '2-s2.0-84908611346'))",b0ee52a0-880d-36d8-9aa0-63fd0b65206b
60,conf/kbse/CamposAFd13,10.1109/ASE.2013.6693085,Entropy-based test generation for improved fault localization.,2013,ASE,conf/kbse,"('Fault localization', 'Test case generation')","(('sgr', '84893528180'), ('isbn', '9781479902156'), ('doi', '10.1109/ASE.2013.6693085'), ('pui', '372305664'), ('scopus', '2-s2.0-84893528180'))",2a7f2723-fd19-3d33-92dd-ce10a735f4bc
61,conf/kbse/LouLDFZX13,10.1109/ASE.2013.6693105,Software analytics for incident management of online services - An experience report.,2013,ASE,conf/kbse,"('Online service', 'incident management', 'service incident diagnosis')","(('sgr', '84893540464'), ('isbn', '9781479902156'), ('doi', '10.1109/ASE.2013.6693105'), ('pui', '372305684'), ('scopus', '2-s2.0-84893540464'))",7c0cd2be-a06e-302e-a378-6381fd983418
62,conf/kbse/OhmannL13,10.1109/ASE.2013.6693096,Lightweight control-flow instrumentation and postmortem analysis in support of debugging.,2013,ASE,conf/kbse,(),"(('pui', '372305675'), ('scopus', '2-s2.0-84893574886'), ('isbn', '9781479902156'), ('doi', '10.1109/ASE.2013.6693096'), ('sgr', '84893574886'))",daa16303-dee2-35fc-8c01-81ac2c54ff7a
63,conf/kbse/SagdeoEPV13,10.1109/ASE.2013.6693125,Using automatically generated invariants for regression testing and bug localization.,2013,ASE,conf/kbse,(),"(('isbn', '9781479902156'), ('sgr', '84893618931'), ('doi', '10.1109/ASE.2013.6693125'), ('pui', '372305704'), ('scopus', '2-s2.0-84893618931'))",1c80ee51-1efb-3b85-bb73-25c15567f706
64,conf/kbse/SahaLKP13,10.1109/ASE.2013.6693093,Improving bug localization using structured information retrieval.,2013,ASE,conf/kbse,"('Bug localization', 'information retrieval', 'search')","(('isbn', '9781479902156'), ('sgr', '84893534431'), ('doi', '10.1109/ASE.2013.6693093'), ('pui', '372305672'), ('scopus', '2-s2.0-84893534431'))",f0f2d0e9-b7d8-32ff-815e-d25790be43f8
65,conf/kbse/Servant13,10.1109/ASE.2013.6693150,Supporting bug investigation using history analysis.,2013,ASE,conf/kbse,(),"(('pui', '372305729'), ('scopus', '2-s2.0-84893578605'), ('isbn', '9781479902156'), ('doi', '10.1109/ASE.2013.6693150'), ('sgr', '84893578605'))",8bb0d5e1-2d0a-3bc1-892d-30114d6f25eb
